FACT_ID,HEAD,RELATION,TAIL,TIME,ANSWER
FACT_6_2,Chuck Hagel,Express intent to meet or negotiate,0,2014-03-28,China
FACT_6_3,Chuck Hagel,Express intent to meet or negotiate,China,0,2014-03-28
FACT_7_0,0,Coerce,Citizen (India),2014-04-08,Court Judge (India)
FACT_7_1,Court Judge (India),0,Citizen (India),2014-04-08,Coerce
FACT_7_2,Court Judge (India),Coerce,0,2014-04-08,Citizen (India)
FACT_7_3,Court Judge (India),Coerce,Citizen (India),0,2014-04-08
FACT_8_0,0,Consult,International Monetary Fund,2014-02-03,Victor Ponta
FACT_8_1,Victor Ponta,0,International Monetary Fund,2014-02-03,Consult
FACT_8_2,Victor Ponta,Consult,0,2014-02-03,International Monetary Fund
FACT_8_3,Victor Ponta,Consult,International Monetary Fund,0,2014-02-03
FACT_9_0,0,Consult,Seyran Ohanyan,2014-11-25,Foreign Affairs (United States)
FACT_9_1,Foreign Affairs (United States),0,Seyran Ohanyan,2014-11-25,Consult
FACT_9_2,Foreign Affairs (United States),Consult,0,2014-11-25,Seyran Ohanyan
FACT_9_3,Foreign Affairs (United States),Consult,Seyran Ohanyan,0,2014-11-25
FACT_10_0,0,Demonstrate or rally,Government (Pakistan),2014-12-03,Men (Pakistan)
FACT_10_1,Men (Pakistan),0,Government (Pakistan),2014-12-03,Demonstrate or rally
FACT_10_2,Men (Pakistan),Demonstrate or rally,0,2014-12-03,Government (Pakistan)
FACT_10_3,Men (Pakistan),Demonstrate or rally,Government (Pakistan),0,2014-12-03
FACT_11_0,0,Criticize or denounce,Government (Nigeria),2014-10-13,Sam Nda-Isaiah
FACT_11_1,Sam Nda-Isaiah,0,Government (Nigeria),2014-10-13,Criticize or denounce
FACT_11_2,Sam Nda-Isaiah,Criticize or denounce,0,2014-10-13,Government (Nigeria)
FACT_11_3,Sam Nda-Isaiah,Criticize or denounce,Government (Nigeria),0,2014-10-13
FACT_12_0,0,Host a visit,South Korea,2014-02-03,Iran
FACT_12_1,Iran,0,South Korea,2014-02-03,Host a visit
FACT_12_2,Iran,Host a visit,0,2014-02-03,South Korea
FACT_12_3,Iran,Host a visit,South Korea,0,2014-02-03
FACT_13_0,0,Make statement,Iran,2014-12-29,Mohammad Javad Zarif
FACT_13_1,Mohammad Javad Zarif,0,Iran,2014-12-29,Make statement
FACT_13_2,Mohammad Javad Zarif,Make statement,0,2014-12-29,Iran
FACT_13_3,Mohammad Javad Zarif,Make statement,Iran,0,2014-12-29
FACT_14_0,0,Make statement,Government (Nigeria),2014-10-27,Treasury/Finance Ministry (Nigeria)
FACT_14_1,Treasury/Finance Ministry (Nigeria),0,Government (Nigeria),2014-10-27,Make statement
FACT_14_2,Treasury/Finance Ministry (Nigeria),Make statement,0,2014-10-27,Government (Nigeria)
FACT_14_3,Treasury/Finance Ministry (Nigeria),Make statement,Government (Nigeria),0,2014-10-27
FACT_15_0,0,Investigate,Nadine Heredia,2014-05-04,César Villanueva
FACT_15_1,César Villanueva,0,Nadine Heredia,2014-05-04,Investigate
FACT_15_2,César Villanueva,Investigate,0,2014-05-04,Nadine Heredia
FACT_15_3,César Villanueva,Investigate,Nadine Heredia,0,2014-05-04
FACT_16_0,0,Make statement,Muhammadu Buhari,2014-12-04,Democratic Party (Nigeria)
FACT_16_1,Democratic Party (Nigeria),0,Muhammadu Buhari,2014-12-04,Make statement
FACT_16_2,Democratic Party (Nigeria),Make statement,0,2014-12-04,Muhammadu Buhari
FACT_16_3,Democratic Party (Nigeria),Make statement,Muhammadu Buhari,0,2014-12-04
FACT_17_0,0,"Arrest, detain, or charge with legal action",Rioter (Ukraine),2014-10-14,Police (Ukraine)
FACT_17_1,Police (Ukraine),0,Rioter (Ukraine),2014-10-14,"Arrest, detain, or charge with legal action"
FACT_17_2,Police (Ukraine),"Arrest, detain, or charge with legal action",0,2014-10-14,Rioter (Ukraine)
FACT_17_3,Police (Ukraine),"Arrest, detain, or charge with legal action",Rioter (Ukraine),0,2014-10-14
FACT_18_0,0,Make statement,Angola,2014-03-27,Government Official (Angola)
FACT_18_1,Government Official (Angola),0,Angola,2014-03-27,Make statement
FACT_18_2,Government Official (Angola),Make statement,0,2014-03-27,Angola
FACT_18_3,Government Official (Angola),Make statement,Angola,0,2014-03-27
FACT_19_0,0,Express intent to meet or negotiate,Japan,2014-07-12,South Korea
FACT_19_1,South Korea,0,Japan,2014-07-12,Express intent to meet or negotiate
FACT_19_2,South Korea,Express intent to meet or negotiate,0,2014-07-12,Japan
FACT_19_3,South Korea,Express intent to meet or negotiate,Japan,0,2014-07-12
FACT_20_0,0,Express intent to meet or negotiate,John Kerry,2014-11-07,Mohammad Javad Zarif
FACT_20_1,Mohammad Javad Zarif,0,John Kerry,2014-11-07,Express intent to meet or negotiate
FACT_20_2,Mohammad Javad Zarif,Express intent to meet or negotiate,0,2014-11-07,John Kerry
FACT_20_3,Mohammad Javad Zarif,Express intent to meet or negotiate,John Kerry,0,2014-11-07
FACT_21_0,0,Make an appeal or request,Other Authorities / Officials (Nigeria),2014-11-10,Citizen (Nigeria)
FACT_21_1,Citizen (Nigeria),0,Other Authorities / Officials (Nigeria),2014-11-10,Make an appeal or request
FACT_21_2,Citizen (Nigeria),Make an appeal or request,0,2014-11-10,Other Authorities / Officials (Nigeria)
FACT_21_3,Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),0,2014-11-10
FACT_22_0,0,Engage in negotiation,Barisan Revolusi Nasional,2014-11-13,UN Security Council
FACT_22_1,UN Security Council,0,Barisan Revolusi Nasional,2014-11-13,Engage in negotiation
FACT_22_2,UN Security Council,Engage in negotiation,0,2014-11-13,Barisan Revolusi Nasional
FACT_22_3,UN Security Council,Engage in negotiation,Barisan Revolusi Nasional,0,2014-11-13
FACT_23_0,0,"Arrest, detain, or charge with legal action","Children (Palestinian Territory, Occupied)",2014-12-17,Police (Israel)
FACT_23_1,Police (Israel),0,"Children (Palestinian Territory, Occupied)",2014-12-17,"Arrest, detain, or charge with legal action"
FACT_23_2,Police (Israel),"Arrest, detain, or charge with legal action",0,2014-12-17,"Children (Palestinian Territory, Occupied)"
FACT_23_3,Police (Israel),"Arrest, detain, or charge with legal action","Children (Palestinian Territory, Occupied)",0,2014-12-17
FACT_24_0,0,Host a visit,Barack Obama,2014-02-18,Japan
FACT_24_1,Japan,0,Barack Obama,2014-02-18,Host a visit
FACT_24_2,Japan,Host a visit,0,2014-02-18,Barack Obama
FACT_24_3,Japan,Host a visit,Barack Obama,0,2014-02-18
FACT_25_0,0,Make statement,Japan,2014-06-04,Vietnam
FACT_25_1,Vietnam,0,Japan,2014-06-04,Make statement
FACT_25_2,Vietnam,Make statement,0,2014-06-04,Japan
FACT_25_3,Vietnam,Make statement,Japan,0,2014-06-04
FACT_26_0,0,Demand,Iran,2014-11-21,Philip Hammond
FACT_26_1,Philip Hammond,0,Iran,2014-11-21,Demand
FACT_26_2,Philip Hammond,Demand,0,2014-11-21,Iran
FACT_26_3,Philip Hammond,Demand,Iran,0,2014-11-21
FACT_27_0,0,Praise or endorse,George Krol,2014-12-15,Islam Karimov
FACT_27_1,Islam Karimov,0,George Krol,2014-12-15,Praise or endorse
FACT_27_2,Islam Karimov,Praise or endorse,0,2014-12-15,George Krol
FACT_27_3,Islam Karimov,Praise or endorse,George Krol,0,2014-12-15
FACT_28_0,0,Make statement,Vietnam,2014-12-06,Cabinet / Council of Ministers / Advisors (United States)
FACT_28_1,Cabinet / Council of Ministers / Advisors (United States),0,Vietnam,2014-12-06,Make statement
FACT_28_2,Cabinet / Council of Ministers / Advisors (United States),Make statement,0,2014-12-06,Vietnam
FACT_28_3,Cabinet / Council of Ministers / Advisors (United States),Make statement,Vietnam,0,2014-12-06
FACT_29_0,0,Refuse to yield,Lawmaker (United Kingdom),2014-11-30,China
FACT_29_1,China,0,Lawmaker (United Kingdom),2014-11-30,Refuse to yield
FACT_29_2,China,Refuse to yield,0,2014-11-30,Lawmaker (United Kingdom)
FACT_29_3,China,Refuse to yield,Lawmaker (United Kingdom),0,2014-11-30
FACT_30_0,0,Consult,Barack Obama,2014-05-05,Head of Government (Nigeria)
FACT_30_1,Head of Government (Nigeria),0,Barack Obama,2014-05-05,Consult
FACT_30_2,Head of Government (Nigeria),Consult,0,2014-05-05,Barack Obama
FACT_30_3,Head of Government (Nigeria),Consult,Barack Obama,0,2014-05-05
FACT_31_0,0,"Impose blockade, restrict movement",Canada,2014-10-23,Police (Canada)
FACT_31_1,Police (Canada),0,Canada,2014-10-23,"Impose blockade, restrict movement"
FACT_31_2,Police (Canada),"Impose blockade, restrict movement",0,2014-10-23,Canada
FACT_31_3,Police (Canada),"Impose blockade, restrict movement",Canada,0,2014-10-23
FACT_32_0,0,Make an appeal or request,Muslim (Nigeria),2014-07-29,Alhaji Lai Mohammed
FACT_32_1,Alhaji Lai Mohammed,0,Muslim (Nigeria),2014-07-29,Make an appeal or request
FACT_32_2,Alhaji Lai Mohammed,Make an appeal or request,0,2014-07-29,Muslim (Nigeria)
FACT_32_3,Alhaji Lai Mohammed,Make an appeal or request,Muslim (Nigeria),0,2014-07-29
FACT_33_0,0,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-09-10,Haider Al-Abadi
FACT_33_1,Haider Al-Abadi,0,Cabinet / Council of Ministers / Advisors (United States),2014-09-10,Consult
FACT_33_2,Haider Al-Abadi,Consult,0,2014-09-10,Cabinet / Council of Ministers / Advisors (United States)
FACT_33_3,Haider Al-Abadi,Consult,Cabinet / Council of Ministers / Advisors (United States),0,2014-09-10
FACT_34_0,0,Demand,Iraq,2014-09-10,Cabinet / Council of Ministers / Advisors (United States)
FACT_34_1,Cabinet / Council of Ministers / Advisors (United States),0,Iraq,2014-09-10,Demand
FACT_34_2,Cabinet / Council of Ministers / Advisors (United States),Demand,0,2014-09-10,Iraq
FACT_34_3,Cabinet / Council of Ministers / Advisors (United States),Demand,Iraq,0,2014-09-10
FACT_35_0,0,Make statement,Ministry (Tanzania),2014-08-03,Police (Tanzania)
FACT_35_1,Police (Tanzania),0,Ministry (Tanzania),2014-08-03,Make statement
FACT_35_2,Police (Tanzania),Make statement,0,2014-08-03,Ministry (Tanzania)
FACT_35_3,Police (Tanzania),Make statement,Ministry (Tanzania),0,2014-08-03
FACT_36_0,0,Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-10-25,Israeli Defense Forces
FACT_36_1,Israeli Defense Forces,0,"Children (Palestinian Territory, Occupied)",2014-10-25,Use conventional military force
FACT_36_2,Israeli Defense Forces,Use conventional military force,0,2014-10-25,"Children (Palestinian Territory, Occupied)"
FACT_36_3,Israeli Defense Forces,Use conventional military force,"Children (Palestinian Territory, Occupied)",0,2014-10-25
FACT_37_0,0,Accuse of human rights abuses,Citizen (Kenya),2014-11-17,John Githongo
FACT_37_1,John Githongo,0,Citizen (Kenya),2014-11-17,Accuse of human rights abuses
FACT_37_2,John Githongo,Accuse of human rights abuses,0,2014-11-17,Citizen (Kenya)
FACT_37_3,John Githongo,Accuse of human rights abuses,Citizen (Kenya),0,2014-11-17
FACT_38_0,0,Consult,Angela Merkel,2014-08-09,Barack Obama
FACT_38_1,Barack Obama,0,Angela Merkel,2014-08-09,Consult
FACT_38_2,Barack Obama,Consult,0,2014-08-09,Angela Merkel
FACT_38_3,Barack Obama,Consult,Angela Merkel,0,2014-08-09
FACT_39_0,0,Host a visit,Bratislav Gasic,2014-11-21,China
FACT_39_1,China,0,Bratislav Gasic,2014-11-21,Host a visit
FACT_39_2,China,Host a visit,0,2014-11-21,Bratislav Gasic
FACT_39_3,China,Host a visit,Bratislav Gasic,0,2014-11-21
FACT_40_0,0,Accuse,Baldev Singh,2014-12-02,Court Judge (India)
FACT_40_1,Court Judge (India),0,Baldev Singh,2014-12-02,Accuse
FACT_40_2,Court Judge (India),Accuse,0,2014-12-02,Baldev Singh
FACT_40_3,Court Judge (India),Accuse,Baldev Singh,0,2014-12-02
FACT_41_0,0,Praise or endorse,Tanzania,2014-10-13,Foreign Affairs (Ethiopia)
FACT_41_1,Foreign Affairs (Ethiopia),0,Tanzania,2014-10-13,Praise or endorse
FACT_41_2,Foreign Affairs (Ethiopia),Praise or endorse,0,2014-10-13,Tanzania
FACT_41_3,Foreign Affairs (Ethiopia),Praise or endorse,Tanzania,0,2014-10-13
FACT_42_0,0,Express intent to meet or negotiate,Citizen (Lesotho),2014-06-19,Elizabeth Dipuo Peters
FACT_42_1,Elizabeth Dipuo Peters,0,Citizen (Lesotho),2014-06-19,Express intent to meet or negotiate
FACT_42_2,Elizabeth Dipuo Peters,Express intent to meet or negotiate,0,2014-06-19,Citizen (Lesotho)
FACT_42_3,Elizabeth Dipuo Peters,Express intent to meet or negotiate,Citizen (Lesotho),0,2014-06-19
FACT_43_0,0,Consult,Catherine Ashton,2014-03-09,Iran
FACT_43_1,Iran,0,Catherine Ashton,2014-03-09,Consult
FACT_43_2,Iran,Consult,0,2014-03-09,Catherine Ashton
FACT_43_3,Iran,Consult,Catherine Ashton,0,2014-03-09
FACT_44_0,0,Accede to demands for rights,Education (Nigeria),2014-01-09,Government (Nigeria)
FACT_44_1,Government (Nigeria),0,Education (Nigeria),2014-01-09,Accede to demands for rights
FACT_44_2,Government (Nigeria),Accede to demands for rights,0,2014-01-09,Education (Nigeria)
FACT_44_3,Government (Nigeria),Accede to demands for rights,Education (Nigeria),0,2014-01-09
FACT_45_0,0,Make an appeal or request,Men (India),2014-01-15,Citizen (Denmark)
FACT_45_1,Citizen (Denmark),0,Men (India),2014-01-15,Make an appeal or request
FACT_45_2,Citizen (Denmark),Make an appeal or request,0,2014-01-15,Men (India)
FACT_45_3,Citizen (Denmark),Make an appeal or request,Men (India),0,2014-01-15
FACT_46_0,0,Engage in symbolic act,Abdel Fattah Al-Sisi,2014-06-10,Women (Egypt)
FACT_46_1,Women (Egypt),0,Abdel Fattah Al-Sisi,2014-06-10,Engage in symbolic act
FACT_46_2,Women (Egypt),Engage in symbolic act,0,2014-06-10,Abdel Fattah Al-Sisi
FACT_46_3,Women (Egypt),Engage in symbolic act,Abdel Fattah Al-Sisi,0,2014-06-10
FACT_47_0,0,Consult,Other Authorities / Officials (Vietnam),2014-07-09,Military (Vietnam)
FACT_47_1,Military (Vietnam),0,Other Authorities / Officials (Vietnam),2014-07-09,Consult
FACT_47_2,Military (Vietnam),Consult,0,2014-07-09,Other Authorities / Officials (Vietnam)
FACT_47_3,Military (Vietnam),Consult,Other Authorities / Officials (Vietnam),0,2014-07-09
FACT_48_0,0,Praise or endorse,Ashraf Ghani Ahmadzai,2014-10-23,National Security Advisor (India)
FACT_48_1,National Security Advisor (India),0,Ashraf Ghani Ahmadzai,2014-10-23,Praise or endorse
FACT_48_2,National Security Advisor (India),Praise or endorse,0,2014-10-23,Ashraf Ghani Ahmadzai
FACT_48_3,National Security Advisor (India),Praise or endorse,Ashraf Ghani Ahmadzai,0,2014-10-23
FACT_49_0,0,Make an appeal or request,Citizen (India),2014-10-02,Governor (India)
FACT_49_1,Governor (India),0,Citizen (India),2014-10-02,Make an appeal or request
FACT_49_2,Governor (India),Make an appeal or request,0,2014-10-02,Citizen (India)
FACT_49_3,Governor (India),Make an appeal or request,Citizen (India),0,2014-10-02
FACT_50_0,0,Investigate,Men (Indonesia),2014-09-16,Police (Indonesia)
FACT_50_1,Police (Indonesia),0,Men (Indonesia),2014-09-16,Investigate
FACT_50_2,Police (Indonesia),Investigate,0,2014-09-16,Men (Indonesia)
FACT_50_3,Police (Indonesia),Investigate,Men (Indonesia),0,2014-09-16
FACT_51_0,0,Express intent to meet or negotiate,Japan,2014-06-04,France
FACT_51_1,France,0,Japan,2014-06-04,Express intent to meet or negotiate
FACT_51_2,France,Express intent to meet or negotiate,0,2014-06-04,Japan
FACT_51_3,France,Express intent to meet or negotiate,Japan,0,2014-06-04
FACT_52_0,0,Consult,Presidential Aide (Kazakhstan),2014-12-23,Security Council of the Russian Federation
FACT_52_1,Security Council of the Russian Federation,0,Presidential Aide (Kazakhstan),2014-12-23,Consult
FACT_52_2,Security Council of the Russian Federation,Consult,0,2014-12-23,Presidential Aide (Kazakhstan)
FACT_52_3,Security Council of the Russian Federation,Consult,Presidential Aide (Kazakhstan),0,2014-12-23
FACT_53_0,0,Praise or endorse,William Ruto,2014-09-08,Uhuru
FACT_53_1,Uhuru,0,William Ruto,2014-09-08,Praise or endorse
FACT_53_2,Uhuru,Praise or endorse,0,2014-09-08,William Ruto
FACT_53_3,Uhuru,Praise or endorse,William Ruto,0,2014-09-08
FACT_54_0,0,Sign formal agreement,Catherine Ashton,2014-10-15,John Kerry
FACT_54_1,John Kerry,0,Catherine Ashton,2014-10-15,Sign formal agreement
FACT_54_2,John Kerry,Sign formal agreement,0,2014-10-15,Catherine Ashton
FACT_54_3,John Kerry,Sign formal agreement,Catherine Ashton,0,2014-10-15
FACT_55_0,0,Make statement,Iran,2014-09-03,Foreign Affairs (United States)
FACT_55_1,Foreign Affairs (United States),0,Iran,2014-09-03,Make statement
FACT_55_2,Foreign Affairs (United States),Make statement,0,2014-09-03,Iran
FACT_55_3,Foreign Affairs (United States),Make statement,Iran,0,2014-09-03
FACT_56_0,0,Make statement,Malawi,2014-05-08,Maxon Mbendera
FACT_56_1,Maxon Mbendera,0,Malawi,2014-05-08,Make statement
FACT_56_2,Maxon Mbendera,Make statement,0,2014-05-08,Malawi
FACT_56_3,Maxon Mbendera,Make statement,Malawi,0,2014-05-08
FACT_57_0,0,Use unconventional violence,City Mayor (Venezuela),2014-11-01,Citizen (Venezuela)
FACT_57_1,Citizen (Venezuela),0,City Mayor (Venezuela),2014-11-01,Use unconventional violence
FACT_57_2,Citizen (Venezuela),Use unconventional violence,0,2014-11-01,City Mayor (Venezuela)
FACT_57_3,Citizen (Venezuela),Use unconventional violence,City Mayor (Venezuela),0,2014-11-01
FACT_58_0,0,Criticize or denounce,Citizen (International),2014-08-14,Ministry (Iran)
FACT_58_1,Ministry (Iran),0,Citizen (International),2014-08-14,Criticize or denounce
FACT_58_2,Ministry (Iran),Criticize or denounce,0,2014-08-14,Citizen (International)
FACT_58_3,Ministry (Iran),Criticize or denounce,Citizen (International),0,2014-08-14
FACT_59_0,0,Make statement,Myanmar,2014-08-10,Cabinet / Council of Ministers / Advisors (United States)
FACT_59_1,Cabinet / Council of Ministers / Advisors (United States),0,Myanmar,2014-08-10,Make statement
FACT_59_2,Cabinet / Council of Ministers / Advisors (United States),Make statement,0,2014-08-10,Myanmar
FACT_59_3,Cabinet / Council of Ministers / Advisors (United States),Make statement,Myanmar,0,2014-08-10
FACT_60_0,0,Express intent to ease administrative sanctions,Citizen (Thailand),2014-01-08,National Anti-Corruption Commission (Thailand)
FACT_60_1,National Anti-Corruption Commission (Thailand),0,Citizen (Thailand),2014-01-08,Express intent to ease administrative sanctions
FACT_60_2,National Anti-Corruption Commission (Thailand),Express intent to ease administrative sanctions,0,2014-01-08,Citizen (Thailand)
FACT_60_3,National Anti-Corruption Commission (Thailand),Express intent to ease administrative sanctions,Citizen (Thailand),0,2014-01-08
FACT_61_0,0,Make a visit,New Zealand,2014-07-22,Frank Bainimarama
FACT_61_1,Frank Bainimarama,0,New Zealand,2014-07-22,Make a visit
FACT_61_2,Frank Bainimarama,Make a visit,0,2014-07-22,New Zealand
FACT_61_3,Frank Bainimarama,Make a visit,New Zealand,0,2014-07-22
FACT_62_0,0,Discuss by telephone,Head of Government (Ukraine),2014-12-27,Angela Merkel
FACT_62_1,Angela Merkel,0,Head of Government (Ukraine),2014-12-27,Discuss by telephone
FACT_62_2,Angela Merkel,Discuss by telephone,0,2014-12-27,Head of Government (Ukraine)
FACT_62_3,Angela Merkel,Discuss by telephone,Head of Government (Ukraine),0,2014-12-27
FACT_63_0,0,Make a visit,Royal Administration (Japan),2014-01-28,Nadine Heredia
FACT_63_1,Nadine Heredia,0,Royal Administration (Japan),2014-01-28,Make a visit
FACT_63_2,Nadine Heredia,Make a visit,0,2014-01-28,Royal Administration (Japan)
FACT_63_3,Nadine Heredia,Make a visit,Royal Administration (Japan),0,2014-01-28
FACT_64_0,0,Demonstrate or rally,Border Security Force,2014-12-30,Citizen (India)
FACT_64_1,Citizen (India),0,Border Security Force,2014-12-30,Demonstrate or rally
FACT_64_2,Citizen (India),Demonstrate or rally,0,2014-12-30,Border Security Force
FACT_64_3,Citizen (India),Demonstrate or rally,Border Security Force,0,2014-12-30
FACT_65_0,0,Make an appeal or request,Police (Indonesia),2014-11-18,Human Rights Watch
FACT_65_1,Human Rights Watch,0,Police (Indonesia),2014-11-18,Make an appeal or request
FACT_65_2,Human Rights Watch,Make an appeal or request,0,2014-11-18,Police (Indonesia)
FACT_65_3,Human Rights Watch,Make an appeal or request,Police (Indonesia),0,2014-11-18
FACT_66_0,0,Make a visit,Military (Cyprus),2014-08-25,Kyriakos Gerontopoulos
FACT_66_1,Kyriakos Gerontopoulos,0,Military (Cyprus),2014-08-25,Make a visit
FACT_66_2,Kyriakos Gerontopoulos,Make a visit,0,2014-08-25,Military (Cyprus)
FACT_66_3,Kyriakos Gerontopoulos,Make a visit,Military (Cyprus),0,2014-08-25
FACT_67_0,0,Consult,Government (Nigeria),2014-06-16,Head of Government (Nigeria)
FACT_67_1,Head of Government (Nigeria),0,Government (Nigeria),2014-06-16,Consult
FACT_67_2,Head of Government (Nigeria),Consult,0,2014-06-16,Government (Nigeria)
FACT_67_3,Head of Government (Nigeria),Consult,Government (Nigeria),0,2014-06-16
FACT_68_0,0,Make statement,Romania,2014-09-26,Victor Ponta
FACT_68_1,Victor Ponta,0,Romania,2014-09-26,Make statement
FACT_68_2,Victor Ponta,Make statement,0,2014-09-26,Romania
FACT_68_3,Victor Ponta,Make statement,Romania,0,2014-09-26
FACT_69_0,0,Consult,Mauro Borges,2014-04-30,Axel Kicillof
FACT_69_1,Axel Kicillof,0,Mauro Borges,2014-04-30,Consult
FACT_69_2,Axel Kicillof,Consult,0,2014-04-30,Mauro Borges
FACT_69_3,Axel Kicillof,Consult,Mauro Borges,0,2014-04-30
FACT_70_0,0,Consult,Barack Obama,2014-07-08,Abdullah Abdullah
FACT_70_1,Abdullah Abdullah,0,Barack Obama,2014-07-08,Consult
FACT_70_2,Abdullah Abdullah,Consult,0,2014-07-08,Barack Obama
FACT_70_3,Abdullah Abdullah,Consult,Barack Obama,0,2014-07-08
FACT_71_0,0,Make statement,John Kerry,2014-04-13,Foreign Affairs (Russia)
FACT_71_1,Foreign Affairs (Russia),0,John Kerry,2014-04-13,Make statement
FACT_71_2,Foreign Affairs (Russia),Make statement,0,2014-04-13,John Kerry
FACT_71_3,Foreign Affairs (Russia),Make statement,John Kerry,0,2014-04-13
FACT_72_0,0,Make an appeal or request,Citizen (Mali),2014-10-17,UN Security Council
FACT_72_1,UN Security Council,0,Citizen (Mali),2014-10-17,Make an appeal or request
FACT_72_2,UN Security Council,Make an appeal or request,0,2014-10-17,Citizen (Mali)
FACT_72_3,UN Security Council,Make an appeal or request,Citizen (Mali),0,2014-10-17
FACT_73_0,0,"Arrest, detain, or charge with legal action",Fishermen (India),2014-07-07,Naval (Sri Lanka)
FACT_73_1,Naval (Sri Lanka),0,Fishermen (India),2014-07-07,"Arrest, detain, or charge with legal action"
FACT_73_2,Naval (Sri Lanka),"Arrest, detain, or charge with legal action",0,2014-07-07,Fishermen (India)
FACT_73_3,Naval (Sri Lanka),"Arrest, detain, or charge with legal action",Fishermen (India),0,2014-07-07
FACT_74_0,0,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Saudi Arabia),2014-05-14,Mohammad Javad Zarif
FACT_74_1,Mohammad Javad Zarif,0,Citizen (Saudi Arabia),2014-05-14,Express intent to engage in diplomatic cooperation (such as policy support)
FACT_74_2,Mohammad Javad Zarif,Express intent to engage in diplomatic cooperation (such as policy support),0,2014-05-14,Citizen (Saudi Arabia)
FACT_74_3,Mohammad Javad Zarif,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Saudi Arabia),0,2014-05-14
FACT_75_0,0,Make statement,Interfax,2014-04-10,Sergey Viktorovich Lavrov
FACT_75_1,Sergey Viktorovich Lavrov,0,Interfax,2014-04-10,Make statement
FACT_75_2,Sergey Viktorovich Lavrov,Make statement,0,2014-04-10,Interfax
FACT_75_3,Sergey Viktorovich Lavrov,Make statement,Interfax,0,2014-04-10
FACT_76_0,0,Express intent to meet or negotiate,Maldives,2014-11-25,Afghanistan
FACT_76_1,Afghanistan,0,Maldives,2014-11-25,Express intent to meet or negotiate
FACT_76_2,Afghanistan,Express intent to meet or negotiate,0,2014-11-25,Maldives
FACT_76_3,Afghanistan,Express intent to meet or negotiate,Maldives,0,2014-11-25
FACT_77_0,0,Make statement,Prayuth Chan-ocha,2014-05-21,Associated Press
FACT_77_1,Associated Press,0,Prayuth Chan-ocha,2014-05-21,Make statement
FACT_77_2,Associated Press,Make statement,0,2014-05-21,Prayuth Chan-ocha
FACT_77_3,Associated Press,Make statement,Prayuth Chan-ocha,0,2014-05-21
FACT_78_0,0,Criticize or denounce,Nadine Heredia,2014-01-06,Citizen (Thailand)
FACT_78_1,Citizen (Thailand),0,Nadine Heredia,2014-01-06,Criticize or denounce
FACT_78_2,Citizen (Thailand),Criticize or denounce,0,2014-01-06,Nadine Heredia
FACT_78_3,Citizen (Thailand),Criticize or denounce,Nadine Heredia,0,2014-01-06
FACT_79_0,0,Make statement,Governor (Kenya),2014-09-05,Isaac Kiprono Ruto
FACT_79_1,Isaac Kiprono Ruto,0,Governor (Kenya),2014-09-05,Make statement
